"","state","x","y"
"222","MI",1155763.29849741,-111683.210004581
"223","NY",2148655.70731709,-140924.02900625
"224","OH",1476659.15911472,-433053.677760801
"225","OH",1339554.79160317,-450852.062233359
"226","TX",446714.524228736,-1676703.83033517
"227","WA",-1440729.10457794,419505.520366819
"228","NY",1988078.65972703,132837.785307777
"229","TN",1003399.22803584,-977954.867748542
"230","CA",-1585682.6326424,-1047883.33711567
"231","AR",796538.704384068,-1002504.25818528
"232","TX",424247.776290116,-1586199.01588005
"233","WV",1567732.07565556,-493005.727752729
"234","NJ",2141087.79932033,-113834.208739277
"235","TX",429995.299596976,-1673156.73898724
"236","NY",2147019.94598934,-127256.037978041
"237","CA",-1678887.60232047,-992545.257493059
"238","CO",-429778.68084518,-593916.271571152
"239","PA",1934056.61800854,-236302.878655544
"240","NJ",2081876.21173022,-145056.216236836
"241","KS",390931.951261575,-867491.148971387
"242","AZ",-1126751.07574598,-1174850.13149635
"243","CA",-1908007.12379774,-545114.60752444
"244","NJ",2132616.57502465,-120203.443677642
"245","OR",-1768568.59309639,288123.83672084
"246","CA",-1658274.8100587,-1074525.01716818
"247","IA",685735.02644205,-309955.860074883
"248","FL",1822770.84028146,-1541699.39073629
"249","PA",1799111.49624591,-251142.572279652
"250","IN",1170361.50975345,-570773.486482767
"251","CA",-1979882.60609478,-152338.610623684
"252","TX",213654.800077621,-1660454.09735411
"253","TX",357216.33319455,-1600386.93099248
"254","CA",-1657284.35736534,-1030348.1810124
"255","AZ",-1099670.86647184,-1220138.73885362
"256","MI",1313973.34692969,-44955.0902827995
"257","CA",-1678098.9299157,-1055395.31805758
"258","WI",861315.982023124,-151621.735009075
"259","NC",1810196.15118802,-809483.431151824
"260","FL",1809037.83791635,-1847600.8347366
"261","OK",364943.595963198,-983197.61475494
"262","PA",2044519.02913488,-180494.22277387
"263","GA",1448418.0590334,-1103398.26763066
"264","MI",1155278.78136211,-123103.920367372
"265","NY",2151490.15854351,-138795.430140922
"266","MO",625700.950411145,-684220.037907378
"267","NC",1858430.11276688,-790458.828537862
"268","MI",1362771.71454624,-98705.2304779818
"269","FL",1791241.81971528,-1664048.95925324
"270","IL",956230.332772925,-245408.376400893
"271","UT",-1002058.4561632,-304025.049814562
"272","OH",1469326.67181043,-354667.617311625
"273","NY",2122208.65323495,82776.3458055601
"274","NY",2180765.03442242,-128956.960843733
"275","TX",268677.357227487,-1346209.33643931
"276","SC",1851225.16670583,-1125100.83258282
"277","FL",1988401.78029539,-1825913.43039336
"278","WI",853326.936191391,-159408.751356964
"279","PA",1680682.64282151,-189778.874897857
"280","NV",-1366935.96001314,-859585.646128992
"281","PA",2021171.86862751,-116050.749131002
"282","CT",2196463.74227622,-36787.8530979182
"283","MD",1990729.30573699,-343467.288434545
"284","CA",-1690384.31011571,-865517.208095741
"285","MI",1164758.7032455,-135015.510494563
"286","NM",-692832.645784299,-1301886.14502812
"287","CA",-1942680.6194912,-537976.178332861
"288","CA",-1911177.02652825,-594086.637287574
"289","CA",-1657652.56523388,-1037099.49800718
"290","NJ",2151372.89348786,-198012.613505305
"291","FL",1683726.567053,-1537428.18633931
"292","NY",2151187.28834654,-129419.371882659
"293","TX",230165.221966802,-1538619.89254834
"294","WA",-1730698.97885321,335464.758685416
"295","NY",2154535.05535061,-140148.761007614
"296","CA",-1658274.8100587,-1074525.01716818
"297","TX",454024.745524896,-1687353.81084383
"298","CA",-1914550.54318209,-567672.449657328
"299","CA",-1659129.37833097,-1044747.08792873
"300","NY",1656641.69844395,-91920.0267648817
"301","TX",185145.991697401,-1694206.1959384
"302","MA",2199553.74763267,103935.742028833
"303","FL",1973735.03240651,-1774938.29969003
"304","TX",291723.043203245,-1332125.98985568
"305","VA",1920315.96611291,-404645.291088534
"306","OH",1420272.20218715,-402301.02959235
"307","IN",1166619.56225961,-475382.852712292
"308","IA",623101.720300192,-260149.52881654
"309","PA",1717829.99680266,-307344.295270847
"310","MD",1978941.31435191,-358626.391075522
"311","PA",2047320.31867187,-265419.45677533
