"","name","country.etc","pop","lat","long","capital","x","y","city"
"206","Coppell TX","TX",40487,32.96,-96.99,0,282313.155857036,-1331356.16862773,"Coppell"
"207","Coral Gables FL","FL",42495,25.7,-80.26,0,1986005.94583584,-1912467.96907655,"Coral Gables"
"208","Coral Springs FL","FL",134773,26.27,-80.26,0,1974627.45880782,-1850613.03223757,"Coral Springs"
"209","Corona CA","CA",159198,33.87,-117.57,0,-1615624.33948996,-1067735.35717505,"Corona"
"210","Corpus Christi TX","TX",280808,27.71,-97.29,0,269791.903439393,-1911103.50161065,"Corpus Christi"
"211","Corvallis OR","OR",50932,44.57,-123.28,0,-1812482.96149318,215699.573540492,"Corvallis"
"212","Costa Mesa CA","CA",109357,33.67,-117.91,0,-1650483.71147048,-1083034.78087267,"Costa Mesa"
"213","Council Bluffs IA","IA",58834,41.24,-95.86,0,346165.352097969,-409315.744563239,"Council Bluffs"
"214","Country Club FL","FL",58321,25.95,-80.32,0,1975132.52471183,-1886695.98585832,"Country Club"
"215","Covina CA","CA",49039,34.09,-117.88,0,-1639026.94425884,-1037722.38038542,"Covina"
"216","Covington KY","KY",41896,39.04,-84.51,0,1330025.99481115,-537851.576728698,"Covington"
"217","Cranston RI","RI",83595,41.77,-71.48,0,2306888.01102858,49575.3300709073,"Cranston"
"218","Crystal Lake IL","IL",41874,42.23,-88.33,0,957088.01454666,-239656.185198498,"Crystal Lake"
"219","Culver City CA","CA",40361,34.01,-118.4,0,-1687501.07872969,-1036227.36973455,"Culver City"
"220","Cupertino CA","CA",50952,37.31,-122.05,0,-1926636.59262992,-597984.456706506,"Cupertino"
"221","Cuyahoga Falls OH","OH",52223,41.17,-81.52,0,1531558.42069039,-252572.885199429,"Cuyahoga Falls"
"222","Cypress CA","CA",47521,33.82,-118.04,0,-1659098.88737957,-1064104.37451217,"Cypress"
"223","Dale City VA","VA",62241,38.65,-77.34,0,1940711.81216142,-438435.444642045,"Dale City"
"224","Dallas TX","TX",1216543,32.79,-96.77,0,303565.189168218,-1349393.45954406,"Dallas"
"225","Daly City CA","CA",98084,37.69,-122.47,0,-1951735.63842591,-546945.88455226,"Daly City"
"226","Danbury CT","CT",79292,41.4,-73.47,0,2166142.45848735,-44860.4404436997,"Danbury"
"227","Danville CA","CA",43110,37.81,-121.97,0,-1906322.07275543,-545575.148997603,"Danville"
"228","Danville VA","VA",45382,36.58,-79.41,0,1820756.32068048,-710208.643061323,"Danville"
"229","Davenport IA","IA",96595,41.56,-90.6,0,780342.297555934,-337769.638632045,"Davenport"
"230","Davie FL","FL",84154,26.08,-80.29,0,1975489.26123138,-1871911.53153729,"Davie"
"231","Davis CA","CA",66992,38.55,-121.74,0,-1866941.66659307,-470506.124640511,"Davis"
"232","Dayton OH","OH",157607,39.78,-84.2,0,1341428.21781328,-451624.368446272,"Dayton"
"233","Daytona Beach FL","FL",64735,29.19,-81.05,0,1839272.26395001,-1550496.82951702,"Daytona Beach"
"234","DeKalb IL","IL",44223,41.93,-88.75,0,927364.928639734,-277608.533467199,"DeKalb"
"235","DeSoto TX","TX",47179,32.6,-96.86,0,295793.280298437,-1370705.86506075,"DeSoto"
"236","Dearborn Heights MI","MI",55964,42.33,-83.27,0,1363750.36948435,-156724.176569426,"Dearborn Heights"
"237","Dearborn MI","MI",94681,42.31,-83.21,0,1368998.55148978,-157908.898570192,"Dearborn"
"238","Decatur AL","AL",54717,34.57,-86.99,0,1190408.691208,-1066570.95998216,"Decatur"
"239","Decatur IL","IL",77026,39.85,-88.93,0,942481.743641395,-509333.566242168,"Decatur"
"240","Deerfield Beach FL","FL",66628,26.31,-80.12,0,1987531.83850168,-1843102.55275709,"Deerfield Beach"
"241","Delano CA","CA",45933,35.76,-119.25,0,-1723993.12690142,-827981.047483089,"Delano"
"242","Delray Beach FL","FL",66633,26.45,-80.09,0,1987627.72535841,-1827226.16252388,"Delray Beach"
"243","Deltona FL","FL",84646,28.91,-81.21,0,1829679.76657378,-1584377.22446645,"Deltona"
"244","Dennis MA","MA",39833,41.74,-70.2,0,2405877.52948361,83713.4484994081,"Dennis"
"245","Denton TX","TX",105431,33.21,-97.13,0,268363.071039579,-1304167.60113912,"Denton"
"246","Denver CO","CO",556575,39.77,-104.87,2,-416358.669888038,-569113.681295202,"Denver"
"247","Des Moines IA","IA",192050,41.58,-93.62,2,530244.548267036,-359645.340271584,"Des Moines"
"248","Des Plaines IL","IL",53601,42.03,-87.9,0,995229.272705817,-256593.682947537,"Des Plaines"
"249","Detroit MI","MI",871789,42.38,-83.1,0,1376246.51291804,-148392.250059367,"Detroit"
"250","Diamond Bar CA","CA",59433,34,-117.81,0,-1634598.09246982,-1048913.87996801,"Diamond Bar"
"251","Dothan AL","AL",62449,31.24,-85.41,0,1388994.39643875,-1408239.95099941,"Dothan"
"252","Dover DE","DE",34288,39.16,-75.53,2,2074651.46693041,-339146.058685811,"Dover"
"253","Downers Grove IL","IL",49471,41.8,-88.02,0,989069.022892933,-283419.613709866,"Downers Grove"
"254","Downey CA","CA",112762,33.94,-118.13,0,-1664688.21344376,-1049226.48315991,"Downey"
"255","Dublin CA","CA",40791,37.72,-121.91,0,-1903701.59052661,-556722.368742823,"Dublin"
"256","Dubuque IA","IA",57027,42.5,-90.69,0,761382.934808512,-234606.669175022,"Dubuque"
"257","Duluth MN","MN",84472,46.78,-92.12,0,598901.288860284,227313.096746463,"Duluth"
"258","Dundalk MD","MD",61426,39.27,-76.5,0,1991987.48441255,-351276.072853083,"Dundalk"
"259","Durham NC","NC",208426,35.98,-78.91,0,1879110.78938452,-764399.310627831,"Durham"
"260","Duxbury MA","MA",44473,42.04,-70.67,0,2358553.59441238,101650.562391219,"Duxbury"
"261","Eagan MN","MN",64393,44.82,-93.16,0,538694.30364574,2730.96537982587,"Eagan"
"262","East Brunswick NJ","NJ",48799,40.43,-74.42,0,2123824.89188367,-173954.694022463,"East Brunswick"
"263","East Hartford CT","CT",50209,41.76,-72.62,0,2219508.40048688,16625.5047203427,"East Hartford"
"264","East Lake FL","FL",47720,27.98,-82.38,0,1735096.90410848,-1709712.75883431,"East Lake"
"265","East Lansing MI","MI",48618,42.74,-84.48,0,1258231.16088873,-131241.167455948,"East Lansing"
"266","East Los Angeles CA","CA",125121,34.03,-118.17,0,-1666384.74074995,-1038606.88840815,"East Los Angeles"
"267","East Orange NJ","NJ",68064,40.77,-74.21,0,2129284.91425579,-131958.066631698,"East Orange"
"268","East Providence RI","RI",50750,41.8,-71.36,0,2314971.37177821,56196.1802042615,"East Providence"
"269","Eau Claire WI","WI",63049,44.82,-91.49,0,669672.404556705,15188.1432114089,"Eau Claire"
"270","Eden Prairie MN","MN",65076,44.85,-93.46,0,514864.444573016,4107.70883350446,"Eden Prairie"
"271","Edina MN","MN",45648,44.89,-93.36,0,522351.466280195,9184.702548336,"Edina"
"272","Edinburg TX","TX",63193,26.3,-98.16,0,185873.160663725,-2068190.63589396,"Edinburg"
"273","Edison NJ","NJ",103448,40.53,-74.37,0,2124521.49968075,-161908.560649126,"Edison"
"274","Edmond OK","OK",75061,35.67,-97.41,0,234696.097651215,-1032703.83754973,"Edmond"
"275","Edmonds WA","WA",40023,47.83,-122.37,0,-1643034.89164904,547226.336864024,"Edmonds"
"276","Egypt Lake-Leto FL","FL",49538,28.02,-82.5,0,1722739.10332492,-1707740.1140094,"Egypt Lake-Leto"
"277","El Cajon CA","CA",94767,32.8,-116.96,0,-1581413.02576023,-1196232.90380949,"El Cajon"
"278","El Mirage AZ","AZ",42234,33.6,-112.32,0,-1141806.8749146,-1182748.74860034,"El Mirage"
"279","El Monte CA","CA",127195,34.07,-118.03,0,-1652943.30991106,-1036986.29831455,"El Monte"
"280","El Paso TX","TX",603545,31.85,-106.44,0,-611600.629491874,-1436078.19282851,"El Paso"
"281","Eldersburg MD","MD",41194,39.41,-76.94,0,1951836.6246306,-346694.821489536,"Eldersburg"
"282","Elgin IL","IL",99411,42.04,-88.29,0,963274.160427918,-260155.683923525,"Elgin"
"283","Elizabeth NJ","NJ",124552,40.67,-74.19,0,2134186.73393101,-142171.21537731,"Elizabeth"
"284","Elk Grove CA","CA",99467,38.4,-121.37,0,-1840053.61486041,-495096.877416109,"Elk Grove"
"285","Elkhart IN","IN",51198,41.69,-85.97,0,1158433.11403709,-268667.948922043,"Elkhart"
"286","Ellicott City MD","MD",68337,39.27,-76.83,0,1964939.18272488,-359219.913023994,"Ellicott City"
"287","Elmhurst IL","IL",45463,41.9,-87.94,0,994031.013263911,-271419.663160432,"Elmhurst"
"288","Elyria OH","OH",55811,41.38,-82.11,0,1478758.80813111,-240483.012490913,"Elyria"
"289","Encinitas CA","CA",62273,33.05,-117.26,0,-1603974.17220623,-1163274.14602407,"Encinitas"
"290","Enid OK","OK",45935,36.41,-97.87,0,191122.277386717,-951851.699686231,"Enid"
"291","Erie PA","PA",98968,42.13,-80.09,0,1622306.53747308,-120284.210734558,"Erie"
"292","Escondido CA","CA",137823,33.14,-117.07,0,-1584844.35871001,-1156998.72515541,"Escondido"
"293","Euclid OH","OH",49602,41.59,-81.52,0,1521452.42886542,-206715.158395421,"Euclid"
"294","Eugene OR","OR",146483,44.05,-123.11,0,-1815938.88898618,155801.61709998,"Eugene"
"295","Euless TX","TX",54705,32.85,-97.08,0,274244.382633492,-1343808.29881697,"Euless"
"296","Evanston IL","IL",75419,42.05,-87.69,0,1012017.12307634,-251812.829008052,"Evanston"
"297","Evansville IN","IN",114237,37.98,-87.54,0,1089119.80541769,-698612.208318853,"Evansville"
"298","Everett WA","WA",97575,47.96,-122.2,0,-1626881.92850545,557724.180242088,"Everett"
"299","Fairfield CA","CA",107749,38.25,-122.04,0,-1900195.38828711,-496222.541191564,"Fairfield"
"300","Fairfield CT","CT",59352,41.13,-73.26,0,2191869.66613074,-68132.7401678468,"Fairfield"
"301","Fairfield OH","OH",43279,39.33,-84.54,0,1321822.47835952,-506496.21769871,"Fairfield"
"302","Fall River MA","MA",93128,41.71,-71.11,0,2337497.74956515,53820.7934543487,"Fall River"
"303","Falmouth MA","MA",90561,41.55,-70.6,0,2382629.73132049,51714.4640993297,"Falmouth"
"304","Fargo ND","ND",92396,46.88,-96.82,0,241648.933971525,213818.930486057,"Fargo"
"305","Farmington Hills MI","MI",79530,42.49,-83.38,0,1351424.83815863,-141032.350061103,"Farmington Hills"
"306","Farmington NM","NM",44278,36.75,-108.19,0,-730158.053479779,-880935.763012836,"Farmington"
"307","Fayetteville AR","AR",66288,36.07,-94.16,0,525970.454690796,-973735.777584657,"Fayetteville"
"308","Fayetteville NC","NC",124919,35.07,-78.9,0,1902908.49168791,-863123.159610413,"Fayetteville"
"309","Federal Way WA","WA",80336,47.31,-122.34,0,-1657256.61143114,490582.418070593,"Federal Way"
"310","Findlay OH","OH",40571,41.04,-83.64,0,1361714.92951148,-304233.31792299,"Findlay"
"311","Fishers IN","IN",58678,39.95,-86.02,0,1185827.13729249,-460816.656081761,"Fishers"
"312","Fitchburg MA","MA",40565,42.59,-71.82,0,2250515.68710316,127231.829012392,"Fitchburg"
"313","Flagstaff AZ","AZ",58490,35.19,-111.62,0,-1055734.7707338,-1016793.96361623,"Flagstaff"
"314","Flint MI","MI",115691,43.02,-83.69,0,1315163.3724892,-88045.3932128597,"Flint"
"315","Florence-Graham CA","CA",63012,33.97,-118.24,0,-1673958.88807734,-1043777.52705174,"Florence-Graham"
"316","Florissant MO","MO",51644,38.8,-90.32,0,837741.429541712,-640272.10208897,"Florissant"
"317","Flower Mound TX","TX",70449,33.03,-97.09,0,272704.50740604,-1323942.2935551,"Flower Mound"
"318","Folsom CA","CA",71775,38.68,-121.15,0,-1814224.70725013,-469538.041042094,"Folsom"
"319","Fond du Lac WI","WI",41787,43.77,-88.45,0,923597.960031128,-71072.2232406436,"Fond du Lac"
"320","Fontana CA","CA",178257,34.1,-117.46,0,-1601002.73241379,-1044679.26675178,"Fontana"
"321","Fort Collins CO","CO",131505,40.56,-105.07,0,-428289.310029279,-480433.76191658,"Fort Collins"
"322","Fort Lauderdale FL","FL",173597,26.14,-80.14,0,1989004.31333258,-1862005.77171498,"Fort Lauderdale"
"323","Fort Myers FL","FL",53961,26.63,-81.85,0,1811795.01068896,-1845892.52705559,"Fort Myers"
