"","name","country.etc","pop","lat","long","capital","x","y","city"
"400","High Point NC","NC",96011,35.98,-80,0,1784336.52226089,-788280.220372433,"High Point"
"401","Highland CA","CA",52692,34.12,-117.19,0,-1576265.33422988,-1047565.63465955,"Highland"
"402","Highlands Ranch CO","CO",109009,39.55,-104.97,0,-426289.177827309,-593013.286954081,"Highlands Ranch"
"403","Hillsboro OR","OR",85046,45.53,-122.94,0,-1756884.0869081,311591.309396441,"Hillsboro"
"404","Hingham MA","MA",41654,42.24,-70.89,0,2334204.90167933,116473.925202715,"Hingham"
"405","Hoboken NJ","NJ",39972,40.74,-74.03,0,2144525.34958621,-130455.985970618,"Hoboken"
"406","Hoffman Estates IL","IL",50674,42.06,-88.14,0,975194.223951762,-256172.681682712,"Hoffman Estates"
"407","Hollywood FL","FL",145877,26.03,-80.16,0,1989254.19813707,-1874396.37271365,"Hollywood"
"408","Holyoke MA","MA",40143,42.21,-72.64,0,2201872.051352,64118.1457269352,"Holyoke"
"409","Hoover AL","AL",67576,33.38,-86.82,0,1224109.08212864,-1194971.31032797,"Hoover"
"410","Houston TX","TX",2043005,29.77,-95.39,0,448658.763471442,-1676600.66776796,"Houston"
"411","Huntersville NC","NC",43970,35.41,-80.86,0,1722364.42736784,-868425.838768671,"Huntersville"
"412","Huntington Beach CA","CA",197124,33.69,-118.01,0,-1659111.16180292,-1078895.0667492,"Huntington Beach"
"413","Huntington Park CA","CA",64308,33.98,-118.22,0,-1671945.876268,-1043081.08798592,"Huntington Park"
"414","Huntington WV","WV",47905,38.41,-82.43,0,1519383.15008658,-571132.729897563,"Huntington"
"415","Huntsville AL","AL",169155,34.71,-86.63,0,1220808.62017341,-1046043.74174973,"Huntsville"
"416","Hutchinson KS","KS",40386,38.07,-97.91,0,183268.081175582,-767818.608004598,"Hutchinson"
"417","Idaho Falls ID","ID",52431,43.49,-112.03,0,-966169.825583924,-96387.8900585969,"Idaho Falls"
"418","Independence MO","MO",110124,39.09,-94.35,0,487805.526027301,-640289.079557274,"Independence"
"419","Indianapolis IN","IN",771725,39.78,-86.15,2,1177934.46852101,-481383.032293644,"Indianapolis"
"420","Indio CA","CA",69736,33.72,-116.23,0,-1497167.69451792,-1108777.38385878,"Indio"
"421","Inglewood CA","CA",116797,33.96,-118.34,0,-1683173.8537339,-1042883.9567662,"Inglewood"
"422","Iowa City IA","IA",64490,41.66,-91.54,0,701562.064304899,-335182.605353525,"Iowa City"
"423","Irondequoit NY","NY",51825,43.21,-77.57,0,1789495.68720056,49893.1011725139,"Irondequoit"
"424","Irvine CA","CA",199755,33.66,-117.8,0,-1640736.98221027,-1086265.27223651,"Irvine"
"425","Irving TX","TX",194407,32.86,-96.97,0,284535.586128554,-1342343.77641474,"Irving"
"426","Irvington NJ","NJ",61373,40.72,-74.23,0,2129359.71235271,-137849.231228174,"Irvington"
"427","Jackson MS","MS",175085,32.32,-90.21,2,923145.91431469,-1354280.45391731,"Jackson"
"428","Jackson TN","TN",62552,35.63,-88.83,0,1009280.04011222,-973811.624397819,"Jackson"
"429","Jacksonville FL","FL",809874,30.33,-81.66,0,1758476.90804432,-1439023.21198704,"Jacksonville"
"430","Jacksonville NC","NC",68201,34.76,-77.4,0,2042581.56797632,-861519.344322562,"Jacksonville"
"431","Janesville WI","WI",61952,42.68,-89.02,0,894391.038192938,-197785.942866383,"Janesville"
"432","Jefferson City MO","MO",39062,38.57,-92.19,2,678820.867257495,-682763.60370514,"Jefferson City"
"433","Jersey City NJ","NJ",237125,40.71,-74.06,0,2143152.85763649,-134465.082579969,"Jersey City"
"434","Johnson City TN","TN",59183,36.33,-82.37,0,1569557.07174534,-797574.996729495,"Johnson City"
"435","Joliet IL","IL",141246,41.53,-88.12,0,985086.873886939,-314412.296815,"Joliet"
"436","Jonesboro AR","AR",59233,35.82,-90.69,0,840019.285873271,-973256.045391444,"Jonesboro"
"437","Joplin MO","MO",47060,37.08,-94.5,0,488644.379306916,-863940.380372573,"Joplin"
"438","Jupiter FL","FL",51126,26.92,-80.1,0,1977062.22479692,-1776430.65799968,"Jupiter"
"439","Kalamazoo MI","MI",73504,42.27,-85.59,0,1178423.95827785,-199450.36973245,"Kalamazoo"
"440","Kansas City KS","KS",143402,39.12,-94.73,0,454853.855790576,-639117.161626904,"Kansas City"
"441","Kansas City MO","MO",441833,39.12,-94.55,0,470362.558458604,-638115.30613191,"Kansas City"
"442","Keller TX","TX",39928,32.93,-97.23,0,259908.581427152,-1335433.28838924,"Keller"
"443","Kendale Lakes FL","FL",62715,25.71,-80.41,0,1971022.60140889,-1914763.91121003,"Kendale Lakes"
"444","Kendall FL","FL",84549,25.67,-80.34,0,1978713.69666874,-1917529.36603582,"Kendall"
"445","Kenner LA","LA",69514,29.99,-90.25,0,944672.889005776,-1611050.57205936,"Kenner"
"446","Kennewick WA","WA",63593,46.2,-119.17,0,-1458010.08637862,308443.838554922,"Kennewick"
"447","Kenosha WI","WI",94673,42.58,-87.85,0,990474.049020022,-195320.94924679,"Kenosha"
"448","Kent WA","WA",82896,47.39,-122.24,0,-1647584.27853446,497125.343030934,"Kent"
"449","Kentwood MI","MI",47421,42.88,-85.59,0,1166773.61215492,-132387.442738504,"Kentwood"
"450","Kettering OH","OH",55473,39.7,-84.15,0,1347223.41988486,-459587.51869649,"Kettering"
"451","Killeen TX","TX",106441,31.1,-97.72,0,218660.322909826,-1538932.02025697,"Killeen"
"452","Kingsport TN","TN",43776,36.53,-82.56,0,1548717.5917012,-779236.287257945,"Kingsport"
"453","Kirkland WA","WA",45913,47.68,-122.19,0,-1634946.23614339,527347.869413908,"Kirkland"
"454","Kissimmee FL","FL",67085,28.3,-81.41,0,1822623.89872606,-1655000.81329695,"Kissimmee"
"455","Knoxville TN","TN",172000,35.97,-83.95,0,1438097.80562028,-865360.438606241,"Knoxville"
"456","Kokomo IN","IN",46130,40.48,-86.13,0,1167175.5502688,-404069.278745546,"Kokomo"
"457","La Crosse WI","WI",50147,43.83,-91.23,0,701831.985949207,-92234.9519756143,"La Crosse"
"458","La Habra CA","CA",59799,33.93,-117.95,0,-1648676.06173643,-1053845.56477215,"La Habra"
"459","La Mesa CA","CA",53942,32.77,-117.02,0,-1587500.26347238,-1198396.34709519,"La Mesa"
"460","La Mirada CA","CA",50598,33.9,-118.01,0,-1654714.24271062,-1055951.65606971,"La Mirada"
"461","La Puente CA","CA",42901,34.03,-117.95,0,-1646582.97783411,-1042918.52096126,"La Puente"
"462","La Quinta CA","CA",41239,33.67,-116.29,0,-1503564.65181623,-1113190.95729805,"La Quinta"
"463","Lafayette IN","IN",62589,40.41,-86.87,0,1106760.06225614,-421990.758388858,"Lafayette"
"464","Lafayette LA","LA",112317,30.22,-92.03,0,770868.36701075,-1603398.95328627,"Lafayette"
"465","Laguna CA","CA",49714,38.42,-121.42,0,-1843705.59241462,-491809.912286681,"Laguna"
"466","Laguna Niguel CA","CA",67009,33.53,-117.7,0,-1634350.95111467,-1102405.73784558,"Laguna Niguel"
"467","Lake Charles LA","LA",69910,30.21,-93.2,0,658087.852533307,-1614158.8925514,"Lake Charles"
"468","Lake Elsinore CA","CA",43336,33.67,-117.32,0,-1597058.61280424,-1094346.99854516,"Lake Elsinore"
"469","Lake Forest CA","CA",76859,33.63,-117.7,0,-1632300.3178749,-1091476.2941583,"Lake Forest"
"470","Lake Havasu City AZ","AZ",57685,34.5,-114.31,0,-1309206.35627472,-1055053.78476202,"Lake Havasu City"
"471","Lake Magdalene FL","FL",40413,28.07,-82.47,0,1724721.83089344,-1701697.17964856,"Lake Magdalene"
"472","Lakeland FL","FL",92011,28.04,-81.96,0,1774604.72802651,-1694700.30669232,"Lakeland"
"473","Lakeville MN","MN",52745,44.68,-93.24,0,533705.909847646,-13324.7202033758,"Lakeville"
"474","Lakewood CA","CA",82632,33.85,-118.12,0,-1665686.22176411,-1059254.95215078,"Lakewood"
"475","Lakewood CO","CO",140154,39.7,-105.11,0,-437302.32162678,-575643.928376967,"Lakewood"
"476","Lakewood NJ","NJ",43436,40.09,-74.21,0,2151748.12160005,-204984.240162371,"Lakewood"
"477","Lakewood OH","OH",51999,41.48,-81.8,0,1501490.38311537,-223906.834024923,"Lakewood"
"478","Lakewood WA","WA",58995,47.16,-122.53,0,-1675615.99086685,478403.230868723,"Lakewood"
"479","Lancaster CA","CA",131779,34.69,-118.18,0,-1653207.80641354,-966307.485154214,"Lancaster"
"480","Lancaster PA","PA",54390,40.04,-76.3,0,1985214.55942005,-263230.520676566,"Lancaster"
"481","Lansing MI","MI",117236,42.71,-84.55,2,1253256.47315305,-135612.623538144,"Lansing"
"482","Laredo TX","TX",218041,27.53,-99.49,0,50877.8949654533,-1934910.37043606,"Laredo"
"483","Largo FL","FL",71688,27.91,-82.78,0,1697606.39709723,-1725231.62209985,"Largo"
"484","Las Cruces NM","NM",81473,32.34,-106.76,0,-638168.94442712,-1379692.81799545,"Las Cruces"
"485","Las Vegas NV","NV",553807,36.21,-115.22,0,-1360354.25992902,-852878.18575768,"Las Vegas"
"486","Lauderhill FL","FL",60308,26.17,-80.23,0,1979575.04072222,-1860789.2636667,"Lauderhill"
"487","Lawrence IN","IN",42451,39.87,-85.99,0,1189773.08706544,-469186.554244332,"Lawrence"
"488","Lawrence KS","KS",83948,38.96,-95.26,0,410132.278756697,-659619.997498172,"Lawrence"
"489","Lawrence MA","MA",72669,42.7,-71.16,0,2296275.44198199,157546.72831577,"Lawrence"
"490","Lawton OK","OK",91453,34.6,-98.42,0,145202.43498596,-1153488.4531335,"Lawton"
"491","Layton UT","UT",63096,41.08,-111.95,0,-997849.074011029,-363215.546349906,"Layton"
"492","League City TX","TX",65696,29.49,-95.11,0,477357.863440078,-1705940.37742995,"League City"
"493","Lee's Summit MO","MO",83837,38.92,-94.38,0,486426.356458366,-659313.718791553,"Lee's Summit"
"494","Lehigh Acres FL","FL",52474,26.6,-81.63,0,1833930.91017981,-1844571.73090553,"Lehigh Acres"
"495","Lenexa KS","KS",43935,38.96,-94.79,0,450736.573422374,-657187.91270386,"Lenexa"
"496","Leominster MA","MA",42479,42.52,-71.77,0,2256906.41066881,121180.861056969,"Leominster"
"497","Levittown NY","NY",52390,40.72,-73.51,0,2186284.9374976,-118773.1325656,"Levittown"
"498","Levittown PA","PA",52889,40.15,-74.85,0,2098543.76041323,-215178.792232032,"Levittown"
"499","Lewisville TX","TX",97496,33.04,-96.98,0,282973.050244518,-1322479.2832988,"Lewisville"
"500","Lexington KY","KY",274245,38.04,-84.46,0,1353706.91214664,-646810.541906525,"Lexington"
"501","Lima OH","OH",39543,40.74,-84.11,0,1329381.9170762,-344836.568173612,"Lima"
"502","Lincoln CA","CA",40805,38.89,-121.3,0,-1821131.03882626,-443415.339857585,"Lincoln"
"503","Lincoln NE","NE",245301,40.82,-96.69,2,278624.550514297,-459102.918839775,"Lincoln"
"504","Linden NJ","NJ",39964,40.63,-74.24,0,2131547.30838357,-147774.734701503,"Linden"
"505","Little Rock AR","AR",184323,34.72,-92.35,2,700833.447852346,-1109909.30272982,"Little Rock"
"506","Littleton CO","CO",41063,39.59,-105.01,0,-429459.842213027,-588369.502405139,"Littleton"
"507","Livermore CA","CA",81787,37.69,-121.76,0,-1891845.28741992,-563413.953729211,"Livermore"
"508","Livonia MI","MI",97722,42.4,-83.37,0,1354202.63330653,-150724.394585471,"Livonia"
"509","Lodi CA","CA",64068,38.12,-121.29,0,-1840771.9007193,-527299.474878418,"Lodi"
"510","Logan UT","UT",45262,41.74,-111.84,0,-978543.136505365,-291720.099040945,"Logan"
"511","Lombard IL","IL",42917,41.87,-88.01,0,988785.343790862,-275576.395348709,"Lombard"
"512","Lompoc CA","CA",40924,34.66,-120.47,0,-1857419.46260255,-921828.644940303,"Lompoc"
"513","Long Beach CA","CA",486571,33.79,-118.16,0,-1670561.20429994,-1065020.2972448,"Long Beach"
"514","Longmont CO","CO",85988,40.17,-105.11,0,-434229.005108211,-523499.983528271,"Longmont"
"515","Longview TX","TX",76372,32.52,-94.76,0,493853.006764508,-1369864.71409876,"Longview"
"516","Lorain OH","OH",67692,41.44,-82.18,0,1471693.5952796,-235186.571748985,"Lorain"
"517","Los Angeles CA","CA",3911500,34.11,-118.41,0,-1686251.0599969,-1025107.71970978,"Los Angeles"
"518","Louisville KY","KY",241072,38.22,-85.74,0,1240421.19652676,-647001.769605254,"Louisville"
"519","Loveland CO","CO",61578,40.42,-105.07,0,-429204.872004695,-495969.104493995,"Loveland"
"520","Lowell MA","MA",103085,42.64,-71.32,0,2286477.06230338,146622.639993039,"Lowell"
"521","Lower Merion PA","PA",60579,40.03,-75.28,0,2067816.52837509,-239053.354536585,"Lower Merion"
"522","Lubbock TX","TX",213587,33.58,-101.88,0,-175010.585501352,-1265815.59818806,"Lubbock"
"523","Lynchburg VA","VA",65485,37.4,-79.19,0,1818874.3302787,-616174.563388333,"Lynchburg"
"524","Lynn MA","MA",89786,42.47,-70.96,0,2320131.35683711,138863.475530595,"Lynn"
"525","Lynwood CA","CA",72890,33.92,-118.2,0,-1671418.08431239,-1050030.22674935,"Lynwood"
"526","MacAllen TX","TX",125985,26.22,-98.24,0,177936.076187512,-2077131.56168228,"MacAllen"
"527","MacKinney TX","TX",108976,33.2,-96.65,0,313258.511801385,-1303639.17311194,"MacKinney"
"528","MacLean VA","VA",39731,38.94,-77.18,0,1945689.31770861,-403253.825842471,"MacLean"
"529","Macon GA","GA",93755,32.84,-83.66,0,1523741.34269694,-1203170.14563923,"Macon"
"530","Madera CA","CA",53222,36.97,-120.08,0,-1767209.83902124,-678723.52444857,"Madera"
"531","Madison AL","AL",39516,34.7,-86.75,0,1210118.68931974,-1048868.7226279,"Madison"
"532","Madison WI","WI",227642,43.08,-89.39,2,858812.739498043,-157568.734770508,"Madison"
"533","Malden MA","MA",55066,42.43,-71.06,0,2314091.45593054,131742.45430969,"Malden"
"534","Manchester NH","NH",110384,42.98,-71.44,0,2264590.72488533,179349.497140532,"Manchester"
"535","Manhattan KS","KS",45671,39.19,-96.59,0,294157.033096814,-639731.098233876,"Manhattan"
"536","Mansfield OH","OH",50010,40.76,-82.53,0,1458753.76230065,-315815.442145293,"Mansfield"
"537","Manteca CA","CA",69588,37.8,-121.22,0,-1843296.61816536,-563632.407378126,"Manteca"
"538","Maple Grove MN","MN",62021,45.11,-93.46,0,512532.874495384,32947.7358081686,"Maple Grove"
"539","Margate FL","FL",55844,26.25,-80.21,0,1979928.21235066,-1851654.4029248,"Margate"
"540","Marietta GA","GA",61946,33.95,-84.54,0,1422989.89913437,-1096842.63532185,"Marietta"
"541","Marshfield MA","MA",60784,42.09,-70.71,0,2353599.23251528,105787.001252169,"Marshfield"
"542","Medford MA","MA",53579,42.42,-71.11,0,2310686.29836791,129246.340799945,"Medford"
"543","Medford OR","OR",70717,42.34,-122.85,0,-1848226.58403661,-34724.1754438587,"Medford"
"544","Melbourne FL","FL",77320,28.11,-80.64,0,1900503.69459751,-1659155.4466388,"Melbourne"
"545","Memphis TN","TN",639736,35.11,-90.01,0,909511.152624872,-1044577.60751251,"Memphis"
"546","Mentor OH","OH",49597,41.69,-81.33,0,1534318.79300581,-192245.11367943,"Mentor"
"547","Merced CA","CA",74415,37.3,-120.48,0,-1793273.24819609,-634229.211435991,"Merced"
"548","Meriden CT","CT",59558,41.54,-72.8,0,2213389.08828038,-11798.2512690791,"Meriden"
"549","Meridian ID","ID",48376,43.61,-116.4,0,-1309354.64648024,-21950.8883977401,"Meridian"
"550","Mesa AZ","AZ",461167,33.42,-111.74,0,-1090929.74163604,-1210164.80264512,"Mesa"
"551","Mesquite TX","TX",132746,32.77,-96.6,0,319610.087834891,-1350984.94060912,"Mesquite"
"552","Metairie LA","LA",141606,30,-90.18,0,951312.716722672,-1609184.96635113,"Metairie"
"553","Methuen MA","MA",45666,42.73,-71.19,0,2292874.45642954,159876.965853823,"Methuen"
"554","Miami Beach FL","FL",89531,25.81,-80.14,0,1995630.6883304,-1897811.55408849,"Miami Beach"
"555","Miami FL","FL",386740,25.78,-80.21,0,1989339.82905433,-1902656.1012758,"Miami"
"556","Middletown CT","CT",51189,41.55,-72.65,0,2224665.49117026,-6623.56924008888,"Middletown"
"557","Middletown OH","OH",53027,39.51,-84.37,0,1332577.5572889,-484007.690178442,"Middletown"
"558","Midland MI","MI",42516,43.62,-84.23,0,1259651.05352543,-30831.5859729563,"Midland"
"559","Midland TX","TX",98261,32.03,-102.1,0,-199212.778089398,-1436685.19158772,"Midland"
"560","Midwest City OK","OK",55090,35.46,-97.37,0,238980.929634813,-1055856.92479789,"Midwest City"
"561","Milford CT","CT",51360,41.23,-73.06,0,2204035.6465492,-52019.8725136831,"Milford"
"562","Milpitas CA","CA",62671,37.43,-121.89,0,-1909832.38769017,-588659.264119088,"Milpitas"
"563","Milwaukee WI","WI",575250,43.06,-87.97,0,973095.943341226,-143819.861563264,"Milwaukee"
"564","Minneapolis MN","MN",364726,44.96,-93.27,0,528765.821511019,17532.5604176801,"Minneapolis"
"565","Minnetonka MN","MN",49918,44.93,-93.46,0,514147.881905814,12981.6179047622,"Minnetonka"
"566","Miramar FL","FL",123116,25.98,-80.33,0,1973552.81884542,-1883665.49101327,"Miramar"
"567","Mishawaka IN","IN",49534,41.67,-86.17,0,1142478.22087673,-273677.844373888,"Mishawaka"
"568","Mission TX","TX",65215,26.21,-98.32,0,169866.336521001,-2078386.0201863,"Mission"
"569","Mission Viejo CA","CA",97001,33.61,-117.65,0,-1628180.51701451,-1094624.5908205,"Mission Viejo"
"570","Missoula MT","MT",64391,46.87,-114.01,0,-1058398.65035803,300635.300108298,"Missoula"
"571","Missouri City TX","TX",73529,29.57,-95.54,0,435043.022574078,-1699389.52615988,"Missouri City"
"572","Mobile AL","AL",188467,30.68,-88.09,0,1143475.25677233,-1509134.79180449,"Mobile"
"573","Modesto CA","CA",221674,37.66,-120.99,0,-1827476.44843308,-583943.303564726,"Modesto"
"574","Moline IL","IL",42427,41.49,-90.49,0,790294.280183818,-344462.095009905,"Moline"
"575","Monroe LA","LA",51292,32.51,-92.08,0,745791.811914406,-1351568.32164334,"Monroe"
"576","Montclair NJ","NJ",39801,40.82,-74.21,0,2127624.89473974,-126590.01387036,"Montclair"
"577","Montebello CA","CA",64727,34.02,-118.11,0,-1661196.95340856,-1040880.43758737,"Montebello"
"578","Monterey Park CA","CA",63766,34.05,-118.13,0,-1662362.23635615,-1037209.83449671,"Monterey Park"
"579","Montgomery AL","AL",197653,32.35,-86.28,2,1289926.66639037,-1300122.53947479,"Montgomery"
"580","Montgomery Village MD","MD",42453,39.18,-77.19,0,1937976.03720715,-377503.470855956,"Montgomery Village"
"581","Montpelier VT","VT",8003,44.26,-72.57,2,2132529.55460266,284530.535274894,"Montpelier"
"582","Moore OK","OK",48749,35.33,-97.47,0,230290.54110589,-1070534.97980557,"Moore"
"583","Moreno Valley CA","CA",174068,33.93,-117.21,0,-1581884.31957348,-1067976.06173567,"Moreno Valley"
"584","Mount Pleasant SC","SC",61690,32.82,-79.86,0,1871211.89378303,-1129424.3297041,"Mount Pleasant"
"585","Mount Prospect IL","IL",55100,42.07,-87.94,0,991333.684403014,-252666.776613172,"Mount Prospect"
"586","Mount Vernon NY","NY",68048,40.91,-73.83,0,2154609.34743466,-106938.540640624,"Mount Vernon"
"587","Mountain View CA","CA",67788,37.4,-122.08,0,-1926742.23019241,-587522.055374061,"Mountain View"
"588","Muncie IN","IN",64771,40.2,-85.39,0,1233913.25923346,-424080.093932161,"Muncie"
"589","Murfreesboro TN","TN",88161,35.85,-86.39,0,1224007.70541977,-917211.202645328,"Murfreesboro"
"590","Murray UT","UT",56848,40.65,-111.89,0,-999505.119363552,-411383.867209878,"Murray"
"591","Murrieta CA","CA",97999,33.56,-117.21,0,-1589282.02395973,-1108445.04600232,"Murrieta"
"592","Muskegon MI","MI",40058,43.23,-86.26,0,1106763.87301963,-103247.418592913,"Muskegon"
"593","Nampa ID","ID",77893,43.58,-116.56,0,-1322575.41257052,-22640.3809804843,"Nampa"
"594","Napa CA","CA",77884,38.3,-122.3,0,-1920555.9140254,-484789.031082988,"Napa"
"595","Naperville IL","IL",147178,41.76,-88.15,0,979051.640010105,-289393.866865722,"Naperville"
"596","Nashua NH","NH",87113,42.75,-71.49,0,2269497.07187492,153502.837276456,"Nashua"
"597","Nashville TN","TN",523547,36.17,-86.78,2,1184195.98935308,-887599.299621363,"Nashville"
"598","National City CA","CA",64065,32.67,-117.1,0,-1596792.62430849,-1207834.54185406,"National City"
"599","New Bedford MA","MA",94039,41.66,-70.94,0,2352407.17147822,53438.5133697458,"New Bedford"
"600","New Braunfels TX","TX",47533,29.7,-98.12,0,183197.459965372,-1694248.60488767,"New Braunfels"
"601","New Britain CT","CT",71362,41.68,-72.79,0,2209210.34055231,3433.28856999571,"New Britain"
"602","New Brunswick NJ","NJ",51044,40.49,-74.45,0,2119470.51345969,-168287.589120986,"New Brunswick"
"603","New Haven CT","CT",125030,41.31,-72.92,0,2212157.9893039,-39656.1285021563,"New Haven"
"604","New Milford CT","CT",58524,41.58,-73.41,0,2164606.63380319,-23987.7559095052,"New Milford"
"605","New Orleans LA","LA",454207,30.07,-89.93,0,974630.763246495,-1598710.76752538,"New Orleans"
"606","New Rochelle NY","NY",72865,40.92,-73.78,0,2158211.1107579,-104541.195815098,"New Rochelle"
"607","New York NY","NY",8124427,40.67,-73.94,0,2153988.06901241,-135592.555455068,"New York"
"608","Newark CA","CA",43018,37.52,-122.03,0,-1919255.5436942,-575660.12643045,"Newark"
"609","Newark NJ","NJ",281378,40.72,-74.17,0,2134111.48469487,-136279.334325013,"Newark"
"610","Newark OH","OH",46870,40.07,-82.42,0,1483353.11017045,-389334.635017211,"Newark"
"611","Newport Beach CA","CA",79305,33.61,-117.87,0,-1648108.13191395,-1090369.86190253,"Newport Beach"
"612","Newport News VA","VA",183941,37.08,-76.51,0,2055051.67711055,-588360.327628841,"Newport News"
"613","Newton MA","MA",84969,42.33,-71.21,0,2306513.47863924,116824.231690793,"Newton"
"614","Niagara Falls NY","NY",52509,43.09,-79.02,0,1680514.14128476,5810.2824039616,"Niagara Falls"
"615","Norfolk VA","VA",248182,36.92,-76.24,0,2082520.52369646,-598935.422122966,"Norfolk"
"616","Normal IL","IL",52497,40.52,-89,0,927108.982528857,-436138.493996288,"Normal"
"617","Norman OK","OK",102925,35.23,-97.34,0,242436.176431678,-1081248.26590626,"Norman"
"618","North Atlanta GA","GA",45739,33.86,-84.33,0,1443693.26543825,-1103155.56393551,"North Atlanta"
"619","North Bergen NJ","NJ",64575,40.79,-74.03,0,2142854.59003752,-125090.470550489,"North Bergen"
"620","North Bethesda MD","MD",45600,39.04,-77.12,0,1947766.68283489,-391007.982520191,"North Bethesda"
"621","North Brunswick Township NJ","NJ",39567,40.45,-74.48,0,2118391.15160693,-173365.267164859,"North Brunswick Township"
"622","North Charleston SC","SC",83247,32.91,-80.04,0,1852811.38556998,-1123575.10007093,"North Charleston"
"623","North Fort Myers FL","FL",47790,26.71,-81.89,0,1806386.75971022,-1838018.28459906,"North Fort Myers"
"624","North Highlands CA","CA",46156,38.67,-121.38,0,-1833679.02850187,-465543.323208934,"North Highlands"
"625","North Las Vegas NV","NV",177751,36.27,-115.14,0,-1352201.52798284,-847586.037184733,"North Las Vegas"
"626","North Little Rock AR","AR",58771,34.79,-92.26,0,708410.017974077,-1101426.84651888,"North Little Rock"
"627","North Miami Beach FL","FL",39551,25.93,-80.17,0,1990277.4634897,-1885473.97115172,"North Miami Beach"
"628","North Miami FL","FL",58238,25.9,-80.17,0,1990878.24100267,-1888728.98781767,"North Miami"
"629","North Port FL","FL",41919,27.05,-82.19,0,1770739.33029212,-1807162.57002985,"North Port"
"630","North Richland Hills TX","TX",64317,32.86,-97.22,0,261069.634784688,-1343140.85776744,"North Richland Hills"
"631","Norwalk CA","CA",110002,33.91,-118.08,0,-1660815.11884122,-1053486.98570339,"Norwalk"
"632","Norwalk CT","CT",84801,41.09,-73.42,0,2180711.6421317,-76720.1594229079,"Norwalk"
"633","Novato CA","CA",49005,38.09,-122.56,0,-1948151.20687065,-501468.268553851,"Novato"
"634","Novi MI","MI",55079,42.48,-83.49,0,1342851.69618262,-143946.315687251,"Novi"
"635","O'Fallon MO","MO",79091,38.78,-90.71,0,804400.628051046,-646335.174228977,"O'Fallon"
"636","Oak Lawn IL","IL",54638,41.72,-87.75,0,1012441.29857359,-288946.795943987,"Oak Lawn"
"637","Oak Park IL","IL",48922,41.89,-87.79,0,1006441.81756434,-270690.790535472,"Oak Park"
"638","Oakland CA","CA",393632,37.77,-122.22,0,-1928473.31397168,-544127.064546726,"Oakland"
"639","Ocala FL","FL",50241,29.19,-82.13,0,1736324.58247578,-1572839.84280157,"Ocala"
"640","Oceanside CA","CA",172251,33.23,-117.31,0,-1604957.97960469,-1142648.61324888,"Oceanside"
"641","Odessa TX","TX",91246,31.87,-102.35,0,-223346.025390012,-1453743.34433686,"Odessa"
"642","Ogden UT","UT",78572,41.23,-111.97,0,-997169.244001625,-346424.367553723,"Ogden"
"643","Oklahoma City OK","OK",538141,35.47,-97.51,2,226234.383961967,-1055134.31566139,"Oklahoma City"
"644","Olathe KS","KS",118165,38.89,-94.81,0,449467.172030578,-665058.909557624,"Olathe"
"645","Olympia WA","WA",45403,47.04,-122.89,2,-1705311.0577415,473134.318224717,"Olympia"
"646","Omaha NE","NE",417809,41.26,-96.01,0,333531.489876249,-407713.942407186,"Omaha"
"647","Ontario CA","CA",175805,34.05,-117.61,0,-1615542.20520289,-1047292.59146271,"Ontario"
"648","Orange CA","CA",134868,33.81,-117.82,0,-1639442.56232849,-1069485.26241581,"Orange"
"649","Orem UT","UT",94758,40.3,-111.7,0,-988943.067744466,-452293.894342574,"Orem"
"650","Orland Park IL","IL",56731,41.61,-87.85,0,1006002.60660291,-302309.872510723,"Orland Park"
"651","Orlando FL","FL",211226,28.5,-81.37,0,1822527.28681683,-1632388.19080102,"Orlando"
"652","Oshkosh WI","WI",62967,44.02,-88.55,0,911802.628344002,-44608.4752096698,"Oshkosh"
"653","Overland Park KS","KS",169520,38.91,-94.68,0,460572.64186453,-662130.078057864,"Overland Park"
"654","Owensboro KY","KY",54513,37.76,-87.12,0,1128989.92045443,-717260.928330149,"Owensboro"
"655","Oxnard CA","CA",190658,34.2,-119.21,0,-1755986.55811952,-998975.763534916,"Oxnard"
"656","Pahrump NV","NV",44614,36.2,-115.99,0,-1428366.75790293,-841168.836903726,"Pahrump"
"657","Palatine IL","IL",68308,42.11,-88.04,0,982556.431706886,-249460.040880802,"Palatine"
"658","Palm Bay FL","FL",91080,27.99,-80.66,0,1901021.30335159,-1672641.8767592,"Palm Bay"
"659","Palm Beach Gardens FL","FL",50768,26.84,-80.12,0,1976753.50317644,-1785569.86284313,"Palm Beach Gardens"
"660","Palm Coast FL","FL",43487,29.57,-81.21,0,1816345.95601024,-1512504.15176526,"Palm Coast"
"661","Palm Desert CA","CA",50126,33.73,-116.38,0,-1510604.09195354,-1105020.55897318,"Palm Desert"
"662","Palm Harbor FL","FL",65500,28.09,-82.76,0,1696285.46352175,-1705222.63971765,"Palm Harbor"
"663","Palm Springs CA","CA",47434,33.78,-116.53,0,-1523262.74631658,-1096860.70261395,"Palm Springs"
"664","Palmdale CA","CA",139337,34.61,-118.09,0,-1646884.21689506,-976810.491047128,"Palmdale"
"665","Palo Alto CA","CA",56084,37.4,-122.14,0,-1931824.77347839,-586126.774939307,"Palo Alto"
"666","Paradise NV","NV",221051,36.08,-115.13,0,-1354792.60585157,-868604.474630718,"Paradise"
"667","Paramount CA","CA",57672,33.9,-118.16,0,-1668237.04242957,-1053004.74242192,"Paramount"
